datum,temperatur,kommentar,Tag
03.09.2018,NA,NA,230
02.09.2018,NA,NA,229
01.09.2018,NA,NA,228
31.08.2018,NA,NA,227
30.08.2018,NA,NA,226
29.08.2018,NA,NA,225
28.08.2018,NA,NA,224
27.08.2018,NA,NA,223
26.08.2018,NA,NA,222
25.08.2018,NA,NA,221
24.08.2018,NA,NA,220
23.08.2018,NA,NA,219
22.08.2018,NA,NA,218
21.08.2018,NA,NA,217
20.08.2018,NA,NA,216
19.08.2018,NA,NA,215
18.08.2018,NA,NA,214
17.08.2018,NA,NA,213
16.08.2018,NA,NA,212
15.08.2018,NA,NA,211
14.08.2018,NA,NA,210
13.08.2018,NA,NA,209
12.08.2018,NA,NA,208
11.08.2018,NA,NA,207
10.08.2018,NA,NA,206
09.08.2018,NA,NA,205
08.08.2018,NA,NA,204
07.08.2018,NA,NA,203
06.08.2018,NA,NA,202
05.08.2018,NA,NA,201
04.08.2018,NA,NA,200
03.08.2018,NA,NA,199
02.08.2018,NA,NA,198
01.08.2018,NA,NA,197
31.07.2018,NA,NA,196
30.07.2018,NA,NA,195
29.07.2018,NA,NA,194
28.07.2018,NA,NA,193
27.07.2018,NA,NA,192
26.07.2018,NA,NA,191
25.07.2018,NA,NA,190
24.07.2018,NA,NA,189
23.07.2018,NA,NA,188
22.07.2018,NA,NA,187
21.07.2018,NA,NA,186
20.07.2018,NA,NA,185
20.07.2018,NA,NA,184
19.07.2018,NA,NA,183
18.07.2018,NA,NA,182
17.07.2018,NA,NA,181
16.07.2018,NA,NA,180
15.07.2018,NA,NA,179
14.07.2018,NA,NA,178
13.07.2018,NA,NA,177
12.07.2018,NA,NA,176
11.07.2018,NA,NA,175
10.07.2018,NA,NA,174
09.07.2018,NA,NA,173
08.07.2018,NA,NA,172
07.07.2018,NA,NA,171
06.07.2018,NA,NA,170
05.07.2018,NA,NA,169
04.07.2018,NA,NA,168
03.07.2018,NA,NA,167
02.07.2018,NA,NA,166
01.07.2018,NA,NA,165
30.06.2018,NA,NA,164
29.06.2018,NA,NA,163
28.06.2018,NA,NA,162
27.06.2019,22,normal und tiefer,161
26.06.2019,21.5,normal und tiefer,160
25.06.2019,20.5,normal und tiefer,159
24.06.2019,19.7,normal und tiefer,158
23.06.2019,19.3,normal und tiefer,157
22.06.2019,19.8,normal und tiefer,156
21.06.2019,20,normal und tiefer,155
20.06.2019,20.1,normal und tiefer,154
19.06.2019,20.1,normal und tiefer,153
18.06.2019,19.4,normal und tiefer,152
17.06.2019,18.4,normal und tiefer,151
16.06.2019,18,normal und tiefer,150
15.06.2019,18.3,normal und tiefer,149
14.06.2019,17.7,normal und tiefer,148
13.06.2019,17,normal und tiefer,147
12.06.2019,17.2,normal und tiefer,146
11.06.2019,17.3,normal und tiefer,145
10.06.2019,17.3,normal und tiefer,144
09.06.2019,17.5,normal und tiefer,143
08.06.2019,17.5,normal und tiefer,142
07.06.2019,18.1,normal und tiefer,141
06.06.2019,18.1,normal und tiefer,140
05.06.2019,18.2,normal und tiefer,139
04.06.2019,17.8,normal und tiefer,138
03.06.2019,16.9,normal und tiefer,137
02.06.2019,15.7,normal und tiefer,136
01.06.2019,14.5,normal und tiefer,135
31.05.2019,13.5,normal und tiefer,134
30.05.2019,13.6,normal und tiefer,133
29.05.2019,14.2,normal und tiefer,132
28.05.2019,14.7,normal und tiefer,131
27.05.2019,15.2,normal und tiefer,130
26.05.2019,14.7,normal und tiefer,129
25.05.2019,14.2,normal und tiefer,128
24.05.2019,13.3,normal und tiefer,127
23.05.2019,12,normal und tiefer,126
22.05.2019,13.5,normal und tiefer,125
21.05.2019,14.5,normal und tiefer,124
20.05.2019,14.8,normal und tiefer,123
19.05.2019,15.3,normal und tiefer,122
18.05.2019,14.3,normal und tiefer,121
17.05.2019,13.6,normal und tiefer,120
16.05.2019,12.4,normal und tiefer,119
15.05.2019,12.5,normal und tiefer,118
14.05.2019,12.7,normal und tiefer,117
13.05.2019,12.9,normal und tiefer,116
12.05.2019,12.3,normal und tiefer,115
11.05.2019,12.8,normal und tiefer,114
10.05.2019,12.7,normal und tiefer,113
09.05.2019,12.5,normal und tiefer,112
08.05.2019,11.9,normal und tiefer,111
07.05.2019,12.4,normal und tiefer,110
06.05.2019,11.7,normal und tiefer,109
05.05.2019,12.3,normal und tiefer,108
04.05.2019,13.1,normal und tiefer,107
03.05.2019,13.7,normal und tiefer,106
02.05.2019,13.9,normal und tiefer,105
01.05.2019,13.4,normal und tiefer,104
30.04.2019,13.4,normal und tiefer,103
